 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Mean, Bwd Packet Length Mean,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Fwd IAT Mean, Bwd IAT Mean, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, SYN Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio,Idle Mean, Label
80,884900,3,5,26,11607,8.666666667,2321.4,13146.11821,9.040569556,126414.2857,274.5,221185.25,72,112,3.390213583,5.650355972,0,5840,1292.555556,0,1,0,0,1,0,DDoS
80,926762,3,6,26,11607,8.666666667,1934.5,12552.30577,9.711231147,115845.25,295,185320.2,72,132,3.237077049,6.474154098,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71976964,9,4,62,11607,6.888888889,2901.75,162.1213143,0.180613342,5998080.333,8918739,209280,192,92,0.125040006,0.055573336,0,11595,833.9285714,0,0,1,0,0,70600000,DDoS
80,911035,3,5,26,11601,8.666666667,2320.2,12762.40759,8.781221358,130147.8571,3001,227721.25,72,112,3.292958009,5.488263349,0,7300,1291.888889,0,1,0,0,1,0,DDoS
80,71976181,8,4,56,11607,7,2901.75,162.039717,0.166721821,6543289.182,10200000,209067.6667,172,92,0.111147881,0.05557394,0,11595,897.6153846,0,0,1,0,0,70600000,DDoS
80,895062,3,6,26,11601,8.666666667,1933.5,12990.16158,10.05516936,111882.75,6500,179010,72,132,3.351723121,6.703446242,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,71975574,8,4,56,11607,7,2901.75,162.0410835,0.166723228,6543234,10300000,31068.66667,172,92,0.111148818,0.055574409,0,11595,897.6153846,0,0,1,0,0,71200000,DDoS
80,895627,3,4,26,11601,8.666666667,2900.25,12981.96682,7.815753656,149271.1667,6499.5,298524.3333,72,92,3.34960871,4.466144947,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,71973466,8,5,56,11607,7,2321.4,162.0458295,0.18062212,5997788.833,10300000,23297.75,172,112,0.111152074,0.069470046,0,7215,833.5,0,0,1,0,0,71200000,DDoS
80,895796,3,4,26,11601,8.666666667,2900.25,12979.51766,7.814279144,149299.3333,6519.5,298560.3333,72,92,3.348976776,4.465302368,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,71972620,8,5,56,11607,7,2321.4,162.0477343,0.180624243,5997718.333,10300000,23196.5,172,112,0.11115338,0.069470863,0,7215,833.5,0,0,1,0,0,71200000,DDoS
80,895413,3,5,26,11601,8.666666667,2320.2,12985.06946,8.934424673,127916.1429,6495,223824.25,72,112,3.350409252,5.584015421,0,5840,1291.888889,0,1,0,0,1,0,DDoS
80,71974746,8,4,56,11607,7,2901.75,162.0429477,0.166725146,6543158.727,10300000,30577.33333,172,92,0.111150097,0.055575049,0,11595,897.6153846,0,0,1,0,0,71200000,DDoS
80,895442,3,4,26,11601,8.666666667,2900.25,12984.64892,7.817368406,149240.3333,6497.5,298447.3333,72,92,3.350300745,4.46706766,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,71974655,8,5,56,11607,7,2321.4,162.0431526,0.180619136,5997887.917,10300000,22660.75,172,112,0.111150238,0.069468898,0,5840,833.5,0,0,1,0,0,71200000,DDoS
80,946180,3,5,26,11607,8.666666667,2321.4,12294.7008,8.455050836,135168.5714,544,236544,72,112,3.170644063,5.284406772,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,71916296,8,5,56,11607,7,2321.4,162.1746481,0.180765706,5993024.667,10300000,15954.5,172,112,0.111240434,0.069525271,0,10135,833.5,0,0,1,0,0,71200000,DDoS
80,943937,3,5,26,11607,8.666666667,2321.4,12323.91569,8.475141879,134848.1429,473.5,235963.5,72,112,3.178178205,5.296963674,0,5840,1292.555556,0,1,0,0,1,0,DDoS
80,71918643,8,5,56,11607,7,2321.4,162.1693557,0.180759807,5993220.25,10300000,15710,172,112,0.111236804,0.069523003,0,7300,833.5,0,0,1,0,0,71200000,DDoS
80,954397,3,6,26,11607,8.666666667,1934.5,12188.84804,9.430038024,119299.625,516.5,190869.8,72,132,3.143346008,6.286692016,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71907286,8,5,56,11607,7,2321.4,162.1949687,0.180788356,5992273.833,10300000,15091.5,172,112,0.111254373,0.069533983,0,7215,833.5,0,0,1,0,0,71200000,DDoS
80,957988,3,6,26,11607,8.666666667,1934.5,12143.15837,9.394689704,119748.5,486.5,191577.8,72,132,3.131563235,6.263126469,0,5840,1163.3,0,1,0,0,2,0,DDoS
80,71903817,8,5,56,11607,7,2321.4,162.2027938,0.180797078,5991984.75,10300000,13578.25,172,112,0.11125974,0.069537338,0,10135,833.5,0,0,1,0,0,71200000,DDoS
80,954373,3,6,26,11607,8.666666667,1934.5,12189.15455,9.430275165,119296.625,422,190861.4,72,132,3.143425055,6.28685011,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71906625,8,5,56,11607,7,2321.4,162.1964596,0.180790018,5992218.75,10300000,13366,172,112,0.111255395,0.069534622,0,10135,833.5,0,0,1,0,0,71200000,DDoS
80,714442,3,7,26,11601,8.666666667,1657.285714,16274.2392,13.99693747,79382.44444,4331.5,119065.6667,72,152,4.199081241,9.797856229,0,5840,1057,0,1,0,0,2,0,DDoS
80,71295745,8,5,56,11607,7,2321.4,163.5862,0.182339072,5941312.083,10200000,12921.25,172,112,0.11220866,0.070130412,0,10135,833.5,0,0,1,0,0,71200000,DDoS
80,700327,3,5,26,11607,8.666666667,2321.4,16610.81181,11.42323515,100046.7143,238.5,175061.5,72,112,4.28371318,7.139521966,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,699975,3,6,26,11607,8.666666667,1934.5,16619.16497,12.85760206,87496.875,237,139986.2,72,132,4.285867352,8.571734705,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,700135,3,4,26,11607,8.666666667,2901.75,16615.36704,9.9980718,116689.1667,341.5,233373.3333,72,92,4.284887914,5.713183886,0,11595,1454.125,0,1,0,0,1,0,DDoS
80,700370,3,5,26,11607,8.666666667,2321.4,16609.79197,11.4225338,100052.8571,359.5,175081.75,72,112,4.283450176,7.139083627,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,700303,3,5,26,11607,8.666666667,2321.4,16611.38107,11.42362663,100043.2857,357,175065.5,72,112,4.283859986,7.139766644,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,700476,3,5,26,11607,8.666666667,2321.4,16607.27848,11.42080528,100068,357,175106.5,72,112,4.28280198,7.138003301,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,685809,3,5,26,11607,8.666666667,2321.4,16962.44873,11.66505543,97972.71429,289.5,171417,72,112,4.374395787,7.290659644,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,654606,3,5,26,11607,8.666666667,2321.4,17770.99507,12.22109177,93515.14286,343.5,163616.75,72,112,4.582909414,7.638182357,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,654598,2,4,20,11607,10,2901.75,17762.04632,9.165930846,130919.6,718,218157.6667,52,92,3.055310282,6.110620564,0,11595,1661,0,1,0,0,2,0,DDoS
80,654697,3,4,26,11607,8.666666667,2901.75,17768.52498,10.69196896,109116.1667,366.5,218218.6667,72,92,4.58227241,6.109696547,0,11595,1454.125,0,1,0,0,1,0,DDoS
80,654851,3,5,26,11607,8.666666667,2321.4,17764.34639,12.21651948,93550.14286,396.5,163706.5,72,112,4.581194806,7.635324677,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,654932,3,5,26,11607,8.666666667,2321.4,17762.14935,12.21500858,93561.71429,357.5,163729,72,112,4.580628218,7.634380363,0,8760,1292.555556,0,1,0,0,1,0,DDoS
80,654526,3,5,26,11607,8.666666667,2321.4,17773.16715,12.2225855,93503.71429,303.5,163627,72,112,4.583469564,7.63911594,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,654827,3,5,26,11607,8.666666667,2321.4,17764.99747,12.21696723,93546.71429,325,163699.25,72,112,4.581362711,7.635604518,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,593724,3,5,26,11607,8.666666667,2321.4,19593.27903,13.47427424,84817.71429,381.5,148395.25,72,112,5.052852841,8.421421401,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,593714,3,5,26,11607,8.666666667,2321.4,19593.60904,13.47450119,84816.28571,400,148384.75,72,112,5.052937947,8.421563244,0,10135,1292.555556,0,1,0,0,1,0,DDoS
80,593793,3,4,26,11607,8.666666667,2901.75,19591.00225,11.78861994,98965.5,383.5,197883.3333,72,92,5.052265689,6.736354251,0,11595,1454.125,0,1,0,0,1,0,DDoS
80,593930,3,5,26,11607,8.666666667,2321.4,19586.48326,13.46960079,84847.14286,390,148452,72,112,5.051100298,8.418500497,0,5840,1292.555556,0,1,0,0,1,0,DDoS
80,578645,3,4,26,11607,8.666666667,2901.75,20103.86334,12.09722714,96440.83333,802.5,192855.3333,72,92,5.184525918,6.912701224,0,11595,1454.125,0,1,0,0,1,0,DDoS
80,32776,3,6,26,11601,8.666666667,1933.5,354741.2741,274.5911643,4097,15511.5,6553.2,72,132,91.53038809,183.0607762,0,7300,1162.7,0,1,0,0,2,0,DDoS
80,72593993,8,5,56,11601,7,2320.2,160.5780247,0.179078178,6049499.417,10200000,325998,172,112,0.110201956,0.068876222,0,8760,833.0714286,0,0,1,0,0,35600000,DDoS
80,18727,3,5,26,11601,8.666666667,2320.2,620868.2651,427.1906872,2675.285714,8526,4669,72,112,160.1965077,266.9941795,0,5840,1291.888889,0,1,0,0,1,0,DDoS
80,73122601,8,6,56,11607,7,1934.5,159.4992498,0.191459273,5624815.462,10200000,367081.6,172,132,0.109405299,0.082053974,0,4380,777.9333333,0,0,1,0,0,35600000,DDoS
80,19190,3,6,26,11607,8.666666667,1934.5,606201.1464,468.9942678,2398.75,8523,3837,72,132,156.3314226,312.6628452,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,73141395,9,5,62,11607,6.888888889,2321.4,159.5402986,0.191410076,5626261.154,8911373.75,463120.25,192,112,0.123049335,0.068360742,0,5840,778.3333333,0,0,1,0,0,35600000,DDoS
80,19381,3,5,26,11601,8.666666667,2320.2,599917.4449,412.7753986,2768.714286,8522,4831,72,112,154.7907745,257.9846241,0,5840,1291.888889,0,1,0,0,1,0,DDoS
80,73140025,8,6,56,11607,7,1934.5,159.4612526,0.191413662,5626155.769,10200000,368403.6,172,132,0.109379235,0.082034426,0,5840,777.9333333,0,0,1,0,0,35600000,DDoS
80,19367,3,6,26,11601,8.666666667,1933.5,600351.1127,464.7080085,2420.875,8527,3863,72,132,154.9026695,309.805339,0,5840,1162.7,0,1,0,0,2,0,DDoS
80,73141122,8,6,56,11607,7,1934.5,159.4588609,0.191410791,5626240.154,10200000,324751.2,172,132,0.109377595,0.082033196,0,4380,777.9333333,0,0,1,0,0,35800000,DDoS
80,19360,3,5,26,11601,8.666666667,2320.2,600568.1818,413.2231405,2765.714286,8526,4816.25,72,112,154.9586777,258.2644628,0,8760,1291.888889,0,1,0,0,1,0,DDoS
80,73184505,8,6,56,11601,7,1933.5,159.2823508,0.191297324,5629577.308,10400000,130699.6,172,132,0.109312757,0.081984568,0,4380,777.5333333,0,0,1,0,0,36300000,DDoS
80,19522,3,6,26,11601,8.666666667,1933.5,595584.4688,461.0183383,2440.25,9003,3884.2,72,132,153.6727794,307.3455589,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,73183448,8,6,56,11607,7,1934.5,159.3666371,0.191300087,5629496,10400000,130290.4,172,132,0.109314336,0.081985752,0,5840,777.9333333,0,0,1,0,0,36300000,DDoS
80,24940,3,5,26,11601,8.666666667,2320.2,466198.8773,320.7698476,3562.857143,11921,6093.5,72,112,120.2886929,200.4811548,0,4380,1291.888889,0,1,0,0,1,0,DDoS
80,73181752,8,5,56,11607,7,2321.4,159.3703305,0.177639912,6098479.333,10400000,165405.5,172,112,0.109316869,0.068323043,0,7215,833.5,0,0,1,0,0,36300000,DDoS
80,24391,3,6,26,11601,8.666666667,1933.5,476692.2225,368.9885614,3048.875,11909.5,4788,72,132,122.9961871,245.9923742,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,73206880,8,7,56,11607,7,1658.142857,159.3156272,0.204898775,5229062.857,10400000,114129,172,152,0.109279346,0.095619428,0,4380,729.3125,0,0,1,0,0,36300000,DDoS
80,24980,3,4,26,11601,8.666666667,2900.25,465452.3619,280.2241793,4163.333333,11934.5,8176,72,92,120.0960769,160.1281025,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,73204942,8,4,56,11607,7,2901.75,159.3198448,0.163923359,6654994.727,10400000,227603.3333,172,92,0.109282239,0.05464112,0,11595,897.6153846,0,0,1,0,0,36300000,DDoS
80,24934,3,4,26,11601,8.666666667,2900.25,466311.0612,280.7411567,4155.666667,11921.5,8120.333333,72,92,120.3176386,160.4235181,0,10220,1453.375,0,1,0,0,1,0,DDoS
80,73204097,8,6,56,11607,7,1934.5,159.3216839,0.191246127,5631084.385,10400000,136405.2,172,132,0.109283501,0.081962626,0,5840,777.9333333,0,0,1,0,0,36300000,DDoS
80,24951,3,5,26,11601,8.666666667,2320.2,465993.347,320.6284317,3564.428571,11933.5,6090.5,72,112,120.2356619,200.3927698,0,4380,1291.888889,0,1,0,0,1,0,DDoS
80,73206151,8,5,56,11607,7,2321.4,159.3172137,0.177580706,6100512.583,10400000,170227.75,172,112,0.109280435,0.068300272,0,10135,833.5,0,0,1,0,0,36300000,DDoS
80,24960,3,5,26,11601,8.666666667,2320.2,465825.3205,320.5128205,3565.714286,11920.5,6131,72,112,120.1923077,200.3205128,0,8760,1291.888889,0,1,0,0,1,0,DDoS
80,73204273,8,5,56,11607,7,2321.4,159.3213008,0.177585262,6100356.083,10400000,170006.75,172,112,0.109283238,0.068302024,0,8760,833.5,0,0,1,0,0,36300000,DDoS
80,30479,3,6,26,11601,8.666666667,1933.5,381475.7702,295.2852784,3809.875,14976.5,6029.4,72,132,98.42842613,196.8568523,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,73201276,8,4,56,11607,7,2901.75,159.3278237,0.163931569,6654661.455,10400000,226418.3333,172,92,0.109287712,0.054643856,0,11595,897.6153846,0,0,1,0,0,36300000,DDoS
80,312239,3,4,26,11601,8.666666667,2900.25,37237.50076,22.41872412,52039.83333,13095.5,104047.3333,72,92,9.608024622,12.8106995,0,7215,1453.375,0,1,0,0,1,0,DDoS
80,72920994,8,5,56,11607,7,2321.4,159.9402224,0.178275134,6076749.5,10300000,169562.75,172,112,0.109707775,0.068567359,0,10220,833.5,0,0,1,0,0,36100000,DDoS
80,286621,3,4,26,11601,8.666666667,2900.25,40565.76455,24.42249521,47770.16667,13015,95526.66667,72,92,10.46678366,13.95571155,0,5840,1453.375,0,1,0,0,1,0,DDoS
80,72946831,8,5,56,11607,7,2321.4,159.8835733,0.178211991,6078902.583,10300000,169337.5,172,112,0.109668918,0.068543074,0,5840,833.5,0,0,1,0,0,36100000,DDoS
80,311022,3,6,26,11601,8.666666667,1933.5,37383.20762,28.93685977,38877.75,12519.5,62199.2,72,132,9.645619924,19.29123985,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,72922301,8,5,56,11607,7,2321.4,159.9373558,0.178271939,6076858.417,10300000,158616.25,172,112,0.109705809,0.06856613,0,10135,833.5,0,0,1,0,0,36100000,DDoS
80,345306,3,6,26,11601,8.666666667,1933.5,33671.58404,26.06383903,43163.25,12518.5,69056,72,132,8.687946343,17.37589269,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,72887240,8,4,56,11607,7,2901.75,160.0142906,0.164637871,6626112.727,10300000,211198.6667,172,92,0.109758581,0.05487929,0,11595,897.6153846,0,0,1,0,0,36100000,DDoS
80,345568,3,4,26,11601,8.666666667,2900.25,33646.05519,20.25650523,57594.66667,12518,115176,72,92,8.681359385,11.57514585,0,7215,1453.375,0,1,0,0,1,0,DDoS
80,72886386,7,5,50,11607,7.142857143,2321.4,159.9338455,0.1646398,6626035.091,12000000,158183,152,112,0.096039883,0.068599917,0,5840,897.1538462,0,0,1,0,0,36100000,DDoS
80,345037,3,6,26,11601,8.666666667,1933.5,33697.8353,26.08415909,43129.625,12515,68998.6,72,132,8.694719697,17.38943939,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,72888417,8,4,56,11607,7,2901.75,160.0117067,0.164635212,6626219.727,10300000,210909.3333,172,92,0.109756808,0.054878404,0,11595,897.6153846,0,0,1,0,0,36100000,DDoS
80,335434,3,4,26,11601,8.666666667,2900.25,34662.55657,20.8684868,55905.66667,8004.5,111796.6667,72,92,8.943637198,11.9248496,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,72871814,8,5,56,11607,7,2321.4,160.0481635,0.178395449,6072651.167,10300000,158014.25,172,112,0.109781815,0.068613634,0,10135,833.5,0,0,1,0,0,36100000,DDoS
80,1177149,3,6,26,11601,8.666666667,1933.5,9877.254281,7.64559117,147143.625,1828,235428.2,72,132,2.54853039,5.09706078,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,72022863,8,5,56,11607,7,2321.4,161.9346901,0.18049824,6001905.25,10300000,22136.25,172,112,0.11107584,0.0694224,0,10135,833.5,0,0,1,0,0,36000000,DDoS
80,1093825,3,6,26,11601,8.666666667,1933.5,10629.67111,8.228007222,136728.125,2069.5,218742.4,72,132,2.742669074,5.485338148,0,4380,1162.7,0,1,0,0,2,0,DDoS
80,72112560,8,5,56,11601,7,2320.2,161.6500648,0.180273728,6009380,10300000,19253.25,172,112,0.110937679,0.069336049,0,8760,833.0714286,0,0,1,0,0,36000000,DDoS
80,1227256,3,6,26,11601,8.666666667,1933.5,9473.980979,7.333433285,153407,2012,245441.2,72,132,2.444477762,4.888955524,0,5840,1162.7,0,1,0,0,2,0,DDoS
80,71978016,8,5,56,11601,7,2320.2,161.9522272,0.180610702,5998168,10300000,18955.75,172,112,0.111145047,0.069465655,0,7300,833.0714286,0,0,1,0,0,36000000,DDoS
80,1179092,3,5,26,11601,8.666666667,2320.2,9860.977769,6.784881926,168441.7143,1944.5,294756.25,72,112,2.544330722,4.240551204,0,4380,1291.888889,0,1,0,0,1,0,DDoS
80,72019491,8,5,56,11601,7,2320.2,161.8589612,0.180506691,6001624.25,10300000,16754,172,112,0.111081041,0.06942565,0,4380,833.0714286,0,0,1,0,0,36000000,DDoS
80,1179086,3,4,26,11601,8.666666667,2900.25,9861.027949,5.936801896,196514.3333,1982,393006.6667,72,92,2.54434367,3.392458226,0,8760,1453.375,0,1,0,0,1,0,DDoS
80,72022454,8,5,56,11607,7,2321.4,161.9356097,0.180499265,6001871.167,10300000,8317.25,172,112,0.111076471,0.069422794,0,5840,833.5,0,0,1,0,0,36000000,DDoS
80,1282836,3,4,26,11601,8.666666667,2900.25,9063.512405,5.456660087,213806,2036,427579.6667,72,92,2.338568609,3.118091479,0,5840,1453.375,0,1,0,0,1,0,DDoS
80,71926274,8,5,56,11607,7,2321.4,162.1521504,0.180740629,5993856.167,10300000,7874.75,172,112,0.111225002,0.069515627,0,7215,833.5,0,0,1,0,0,35900000,DDoS
80,1315840,3,6,26,11607,8.666666667,1934.5,8840.740516,6.839737354,164480,349,263164,72,132,2.279912451,4.559824903,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71879566,8,5,56,11607,7,2321.4,162.2575184,0.180858076,5989963.833,10300000,5672.5,172,112,0.111297277,0.069560798,0,7215,833.5,0,0,1,0,0,35900000,DDoS
80,1314125,3,6,26,11607,8.666666667,1934.5,8852.278132,6.848663559,164265.625,354.5,262815.4,72,132,2.282887853,4.565775706,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71933880,8,4,56,11601,7,2900.25,162.0515952,0.166819863,6539443.636,10300000,16443,172,92,0.111213242,0.055606621,0,8675,897.1538462,0,0,1,0,0,35900000,DDoS
80,1382508,3,6,26,11607,8.666666667,1934.5,8414.417855,6.50990808,172813.5,364,276491.8,72,132,2.16996936,4.33993872,0,5840,1163.3,0,1,0,0,2,0,DDoS
80,71865438,8,6,56,11601,7,1933.5,162.2059271,0.194808525,5528110.615,10300000,9698.6,172,132,0.111319157,0.083489368,0,4380,777.5333333,0,0,1,0,0,35900000,DDoS
80,1785161,3,6,26,11607,8.666666667,1934.5,6516.499072,5.041562078,223145.125,329.5,357022.4,72,132,1.680520693,3.361041385,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71462569,8,6,56,11601,7,1933.5,163.1203603,0.195906755,5497120.692,10200000,9432.2,172,132,0.111946717,0.083960038,0,5840,777.5333333,0,0,1,0,0,35700000,DDoS
80,1881406,3,6,26,11607,8.666666667,1934.5,6183.141757,4.783656478,235175.75,328,376278.6,72,132,1.594552159,3.189104319,0,5755,1163.3,0,1,0,0,2,0,DDoS
80,71366472,9,5,62,11601,6.888888889,2320.2,163.4240796,0.196170549,5489728.615,8920497.5,11720.5,192,112,0.126109639,0.07006091,0,8760,777.9333333,0,0,1,0,0,35700000,DDoS
80,1881245,3,6,26,11607,8.666666667,1934.5,6183.67092,4.784065871,235155.625,308,376246.4,72,132,1.594688624,3.189377248,0,4380,1163.3,0,1,0,0,2,0,DDoS
80,71366841,9,4,62,11601,6.888888889,2900.25,163.4232346,0.182157425,5947236.75,8920575.5,15221,192,92,0.126108987,0.056048439,0,10135,833.5,0,0,1,0,0,35700000,DDoS
80,1883623,3,5,26,11607,8.666666667,2321.4,6175.864279,4.247134379,269089,338.5,470891.5,72,112,1.592675392,2.654458987,0,7215,1292.555556,0,1,0,0,1,0,DDoS
80,71367488,9,6,62,11601,6.888888889,1933.5,163.4217531,0.210179739,5097677.714,8920184.75,9692.2,192,132,0.126107843,0.084071896,0,5840,729.3125,0,0,1,0,0,35700000,DDoS
80,1618848,3,5,26,11607,8.666666667,2321.4,7185.974224,4.941785764,231264,1092.5,404687.25,72,112,1.853169661,3.088616102,0,10135,1292.555556,0,1,0,0,1,0,DDoS
